"federalDistrict","region","population","administrativeCenter","populationWithSubordinateDistricts","carCode"
"Центральный  ФО","Белгородская область"," 1511620 ","Белгород","337030","31"
"Центральный  ФО","Брянская область"," 1378941 ","Брянск","431526","32"
"Центральный  ФО","Владимирская область"," 1523990 ","Владимир","315954","33"
"Центральный  ФО","Воронежская область"," 2378803 ","Воронеж","848752","36, 136"
"Центральный  ФО","Ивановская область"," 1148329 ","Иваново","431721","37"
"Центральный  ФО","Калужская область"," 1041641 ","Калуга","350633","40"
"Центральный  ФО","Костромская область"," 736641 ","Кострома","278750","44"
"Центральный  ФО","Курская область"," 1235091 ","Курск","412442","46"
"Центральный  ФО","Липецкая область"," 1213499 ","Липецк","506114","48"
"Центральный  ФО","Москва"," 10382754 ","Москва","10126424","77, 97, 99, 177, 199, 197, 777"
"Центральный  ФО","Московская область"," 6618538 ","Москва","","50, 90, 150, 190, 750"
"Центральный  ФО","Орловская область"," 860262 ","Орел","333310","57"
"Центральный  ФО","Рязанская область"," 1227910 ","Рязань","521560","62"
"Центральный  ФО","Смоленская область"," 1049574 ","Смоленск","325137","67"
"Центральный  ФО","Тамбовская область"," 1178443 ","Тамбов","293658","68"
"Центральный  ФО","Тверская область"," 1471459 ","Тверь","408903","69, 169"
"Центральный  ФО","Тульская область"," 1675758 ","Тула","481216","71"
"Центральный  ФО","Ярославская область"," 1367398 ","Ярославль","613088","76"
"Северо-Западный ФО","Архангельская область"," 1336539 ","Архангельск","362327","29"
"Северо-Западный ФО","Вологодская область"," 1269568 ","Вологда","293046","35"
"Северо-Западный ФО","Калининградская область"," 955281 ","Калининград","430003","39, 91"
"Северо-Западный ФО","Республика Карелия"," 716281 ","Петрозаводск","266589","10"
"Северо-Западный ФО","Республика Коми"," 1018674 ","Сыктывкар","230011","11"
"Северо-Западный ФО","Ленинградская область"," 1669205 ","Санкт-Петербург","","47"
"Северо-Западный ФО","Мурманская область"," 892534 ","Мурманск","336137","51"
"Северо-Западный ФО","Ненецкий автономный округ"," 41546 ","Салехард","48467","83"
"Северо-Западный ФО","Новгородская область"," 694355 ","Великий Новгород","216856","53"
"Северо-Западный ФО","Псковская область"," 760810 ","Псков","202780","60"
"Северо-Западный ФО","Санкт-Петербург"," 4661219 ","Санкт-Петербург","4661219","78, 98, 178"
"Приволжский ФО","Республика Башкортостан"," 4104336 ","Уфа","1049479","02, 102"
"Приволжский ФО","Кировская область"," 1503529 ","Киров","457578","43"
"Приволжский ФО","Республика Марий Эл"," 727979 ","Йошкар-Ола","281165","12"
"Приволжский ФО","Республика Мордовия"," 888766 ","Саранск","304866","13, 113"
