"federalDistrict","region","population","administrativeCenter","coordinates__lat","coordinates__lng"
"Центральный","Белгородская область","1511620","Белгород","50.59566","36.587223"
"Центральный","Брянская область","1378941","Брянск","53.243562","34.363443"
"Центральный","Владимирская область","1523990","Владимир","56.129057","40.406635"
"Центральный","Воронежская область","2378803","Воронеж","51.660781","39.200269"
"Центральный","Ивановская область","1148329","Иваново","57.000348","40.973921"
"Центральный","Калужская область","1041641","Калуга","54.513845","36.261215"
"Центральный","Костромская область","736641","Кострома","57.767961","40.926858"
"Центральный","Курская область","1235091","Курск","51.730361","36.192647"
"Центральный","Липецкая область","1213499","Липецк","52.60882","39.59922"
"Центральный","Москва","10382754","Москва","55.753215","37.622504"
"Центральный","Орловская область","860262","Орел","52.970371","36.063837"
"Центральный","Рязанская область","1227910","Рязань","54.629216","39.736375"
"Центральный","Смоленская область","1049574","Смоленск","54.782635","32.045251"
"Центральный","Тамбовская область","1178443","Тамбов","52.721219","41.452274"
"Центральный","Тверская область","1471459","Тверь","56.859611","35.911896"
"Центральный","Тульская область","1675758","Тула","54.193122","37.617348"
"Центральный","Ярославская область","1367398","Ярославль","57.626569","39.893787"
"Северо-Западный","Архангельская область","1336539","Архангельск","64.539393","40.516939"
"Северо-Западный","Вологодская область","1269568","Вологда","59.220496","39.891523"
"Северо-Западный","Калининградская область","955281","Калининград","54.647708","21.071341"
"Северо-Западный","Республика Карелия","716281","Петрозаводск","61.785017","34.346878"
"Северо-Западный","Республика Коми","1018674","Сыктывкар","61.668793","50.836399"
"Северо-Западный","Мурманская область","892534","Мурманск","68.970682","33.074981"
"Северо-Западный","Ненецкий автономный округ","41546","Салехард","66.529844","66.614399"
"Северо-Западный","Новгородская область","694355","Великий Новгород","55.603969","31.197214"
"Северо-Западный","Псковская область","760810","Псков","57.81925","28.332065"
"Северо-Западный","Санкт-Петербург","4661219","Санкт-Петербург","59.939095","30.315868"
"Приволжский","Республика Башкортостан","4104336","Уфа","54.735147","55.958727"
"Приволжский","Кировская область","1503529","Киров","58.603581","49.667978"
"Приволжский","Республика Марий Эл","727979","Йошкар-Ола","56.630842","47.886089"
"Приволжский","Республика Мордовия","888766","Саранск","54.187433","45.183938"
"Приволжский","Нижегородская область","3524028","Нижний Новгород","54.901233","99.026387"
"Приволжский","Оренбургская область","2179551","Оренбург","51.768199","55.096955"
"Приволжский","Пензенская область","1452941","Пенза","53.195063","45.018316"
"Приволжский","Пермский край","2633774","Пермь","58.010374","56.229398"
"Приволжский","Самарская область","3239737","Самара","53.195538","50.101783"
"Приволжский","Саратовская область","2668310","Саратов","51.533103","46.034158"
"Приволжский","Республика Татарстан","3779265","Казань","55.796289","49.108795"
"Приволжский","Удмуртская Республика","1570316","Ижевск","56.852593","53.204843"
"Приволжский","Ульяновская область","1382811","Ульяновск","54.314192","48.403123"
"Приволжский","Чувашская Республика","1313754","Чебоксары","56.146277","47.251079"
"Уральский","Курганская область","1019532","Курган","55.441004","65.341118"
"Уральский","Свердловская область","4486214","Екатеринбург","56.838011","60.597465"
"Уральский","Тюменская область","3264841","Тюмень","57.153033","65.534328"
"Уральский","Ханты-Мансийский автономный округ - Югра","1432817","Ханты-мансийск","61.00318","69.018902"
"Уральский","Челябинская область","3603339","Челябиннск","55.159897","61.402554"
"Уральский","Ямало-Ненецкий автономный округ","507006","Салехард","66.529844","66.614399"
"Сибирский","Республика Алтай","202947","Горно-Алтайск","51.958182","85.960373"
"Сибирский","Алтайский край","2607426","Барнаул","53.346785","83.776856"
"Сибирский","Республика Бурятия","981238","Улан-Удэ","51.834464","107.584574"
"Сибирский","Забайкальский край","1082633","Чита","52.033973","113.499432"
"Сибирский","Иркутская область","2581705","Иркутск","52.287054","104.281047"
"Сибирский","Кемеровская область","2899142","Кемерово","55.354727","86.088374"
"Сибирский","Красноярский край","2966042","Красноярск","56.010563","92.852572"
