"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
02.03.2020,Московская область,1,0,0,0,1,0
03.03.2020,Московская область,1,0,0,0,0,0
04.03.2020,Московская область,1,0,0,0,0,0
05.03.2020,Московская область,1,0,0,0,0,0
06.03.2020,Москва,5,0,0,0,5,0
06.03.2020,Московская область,1,0,0,0,0,0
06.03.2020,Нижегородская область,1,0,0,0,1,0
07.03.2020,Липецкая область,3,0,0,0,3,0
07.03.2020,Москва,5,0,0,0,0,0
07.03.2020,Московская область,1,0,0,0,0,0
07.03.2020,Нижегородская область,1,0,0,0,0,0
07.03.2020,Санкт-Петербург,1,0,0,0,1,0
08.03.2020,Белгородская область,1,0,0,0,1,0
08.03.2020,Калининградская область,1,0,0,0,1,0
08.03.2020,Липецкая область,3,0,0,0,0,0
08.03.2020,Москва,5,0,0,0,0,0
08.03.2020,Московская область,2,0,0,0,1,0
08.03.2020,Нижегородская область,1,0,0,0,0,0
08.03.2020,Санкт-Петербург,1,0,0,0,0,0
09.03.2020,Белгородская область,1,0,0,0,0,0
09.03.2020,Калининградская область,1,0,0,0,0,0
09.03.2020,Липецкая область,3,0,0,0,0,0
09.03.2020,Москва,8,0,0,0,3,0
09.03.2020,Московская область,2,0,0,0,0,0
09.03.2020,Нижегородская область,1,0,0,0,0,0
09.03.2020,Санкт-Петербург,1,0,0,0,0,0
10.03.2020,Белгородская область,1,0,0,0,0,0
10.03.2020,Калининградская область,1,0,0,0,0,0
10.03.2020,Липецкая область,3,0,0,0,0,0
10.03.2020,Москва,11,0,0,0,3,0
10.03.2020,Московская область,2,0,0,0,0,0
10.03.2020,Нижегородская область,1,0,0,0,0,0
10.03.2020,Санкт-Петербург,1,0,0,0,0,0
11.03.2020,Белгородская область,1,0,0,0,0,0
11.03.2020,Калининградская область,1,0,0,0,0,0
11.03.2020,Липецкая область,3,0,0,0,0,0
11.03.2020,Москва,17,0,0,0,6,0
11.03.2020,Московская область,4,0,0,0,2,0
11.03.2020,Нижегородская область,1,0,0,0,0,0
11.03.2020,Санкт-Петербург,1,0,0,0,0,0
12.03.2020,Белгородская область,1,0,0,0,0,0
12.03.2020,Калининградская область,2,0,0,0,1,0
12.03.2020,Краснодарский край,1,0,0,0,1,0
12.03.2020,Липецкая область,3,0,0,0,0,0
12.03.2020,Москва,21,0,0,0,4,0
12.03.2020,Московская область,4,0,0,0,0,0
12.03.2020,Нижегородская область,1,0,0,0,0,0
12.03.2020,Санкт-Петербург,1,0,0,0,0,0
13.03.2020,Белгородская область,1,0,0,0,0,0
13.03.2020,Калининградская область,2,0,0,0,0,0
13.03.2020,Краснодарский край,1,0,0,0,0,0
13.03.2020,Ленинградская область,1,0,0,0,1,0
13.03.2020,Липецкая область,3,0,0,0,0,0
13.03.2020,Москва,26,0,0,0,5,0
13.03.2020,Московская область,5,0,0,0,1,0
13.03.2020,Нижегородская область,1,0,0,0,0,0
13.03.2020,Пермский край,1,0,0,0,1,0
13.03.2020,Санкт-Петербург,4,0,0,0,3,0
14.03.2020,Белгородская область,1,0,0,0,0,0
14.03.2020,Калининградская область,3,0,0,0,1,0
14.03.2020,Кемеровская область,2,0,0,0,2,0
14.03.2020,Краснодарский край,1,0,0,0,0,0
14.03.2020,Ленинградская область,1,0,0,0,0,0
14.03.2020,Липецкая область,3,0,0,0,0,0
14.03.2020,Москва,35,0,0,0,9,0
14.03.2020,Московская область,6,0,0,0,1,0
14.03.2020,Нижегородская область,1,0,0,0,0,0
14.03.2020,Пермский край,1,0,0,0,0,0
14.03.2020,Санкт-Петербург,5,0,0,0,1,0
15.03.2020,Белгородская область,1,0,0,0,0,0
15.03.2020,Калининградская область,3,0,0,0,0,0
15.03.2020,Кемеровская область,2,0,0,0,0,0
15.03.2020,Краснодарский край,1,0,0,0,0,0
15.03.2020,Ленинградская область,1,0,0,0,0,0
15.03.2020,Липецкая область,3,0,0,0,0,0
15.03.2020,Москва,35,0,0,0,0,0
15.03.2020,Московская область,9,0,0,0,3,0
15.03.2020,Нижегородская область,1,0,0,0,0,0
15.03.2020,Пермский край,1,0,0,0,0,0
15.03.2020,Санкт-Петербург,5,0,0,0,0,0
15.03.2020,Тюменская область,1,0,0,0,1,0
16.03.2020,Белгородская область,1,0,0,0,0,0
16.03.2020,Забайкальский край,1,0,0,0,1,0
16.03.2020,Калининградская область,3,0,0,0,0,0
16.03.2020,Кемеровская область,2,0,0,0,0,0
16.03.2020,Кировская область,1,0,0,0,1,0
16.03.2020,Коми,1,0,0,0,1,0
16.03.2020,Краснодарский край,1,0,0,0,0,0
16.03.2020,Ленинградская область,1,0,0,0,0,0
16.03.2020,Липецкая область,3,0,0,0,0,0
16.03.2020,Москва,53,0,0,0,18,0
16.03.2020,Московская область,10,0,0,0,1,0
16.03.2020,Нижегородская область,1,0,0,0,0,0
16.03.2020,Пермский край,2,0,0,0,1,0
16.03.2020,Самарская область,3,0,0,0,3,0
16.03.2020,Санкт-Петербург,8,0,0,0,3,0
16.03.2020,Тюменская область,2,0,0,0,1,0
17.03.2020,Архангельская область,1,0,0,0,1,0
17.03.2020,Белгородская область,1,0,0,0,0,0
17.03.2020,Забайкальский край,1,0,0,0,0,0
17.03.2020,Калининградская область,5,0,0,0,2,0
17.03.2020,Калужская область,1,0,0,0,1,0
17.03.2020,Кемеровская область,2,0,0,0,0,0
17.03.2020,Кировская область,1,0,0,0,0,0
17.03.2020,Коми,1,0,0,0,0,0
17.03.2020,Краснодарский край,1,0,0,0,0,0
17.03.2020,Красноярский край,1,0,0,0,1,0
17.03.2020,Ленинградская область,1,0,0,0,0,0
17.03.2020,Липецкая область,3,0,0,0,0,0
17.03.2020,Москва,55,0,0,0,2,0
17.03.2020,Московская область,12,0,0,0,2,0
17.03.2020,Нижегородская область,2,0,0,0,1,0
17.03.2020,Пензенская область,1,0,0,0,1,0
17.03.2020,Пермский край,2,0,0,0,0,0
17.03.2020,Самарская область,5,0,0,0,2,0
17.03.2020,Санкт-Петербург,9,0,0,0,1,0
17.03.2020,Свердловская область,1,0,0,0,1,0
17.03.2020,Тамбовская область,1,0,0,0,1,0
17.03.2020,Татарстан,1,0,0,0,1,0
17.03.2020,Тверская область,2,0,0,0,2,0
17.03.2020,Тюменская область,2,0,0,0,0,0
17.03.2020,Хакасия,1,0,0,0,1,0
17.03.2020,Ярославская область,1,0,0,0,1,0
18.03.2020,Архангельская область,1,0,0,0,0,0
18.03.2020,Белгородская область,1,0,0,0,0,0
18.03.2020,Забайкальский край,1,0,0,0,0,0
18.03.2020,Калининградская область,5,0,0,0,0,0
18.03.2020,Калужская область,1,0,0,0,0,0
18.03.2020,Кемеровская область,2,0,0,0,0,0
18.03.2020,Кировская область,1,0,0,0,0,0
18.03.2020,Коми,1,0,0,0,0,0
18.03.2020,Краснодарский край,1,0,0,0,0,0
18.03.2020,Красноярский край,1,0,0,0,0,0
18.03.2020,Ленинградская область,1,0,0,0,0,0
18.03.2020,Липецкая область,3,0,0,0,0,0
18.03.2020,Москва,86,0,0,0,31,0
18.03.2020,Московская область,12,0,0,0,0,0
18.03.2020,Нижегородская область,2,0,0,0,0,0
18.03.2020,Новосибирская область,1,0,0,0,1,0
18.03.2020,Пензенская область,1,0,0,0,0,0
18.03.2020,Пермский край,2,0,0,0,0,0
18.03.2020,Самарская область,5,0,0,0,0,0
18.03.2020,Санкт-Петербург,9,0,0,0,0,0
18.03.2020,Свердловская область,1,0,0,0,0,0
18.03.2020,Тамбовская область,1,0,0,0,0,0
18.03.2020,Татарстан,1,0,0,0,0,0
18.03.2020,Тверская область,2,0,0,0,0,0
18.03.2020,Томская область,1,0,0,0,1,0
18.03.2020,Тюменская область,2,0,0,0,0,0
18.03.2020,Хакасия,1,0,0,0,0,0
18.03.2020,Ярославская область,1,0,0,0,0,0
19.03.2020,Архангельская область,1,0,0,0,0,0
19.03.2020,Белгородская область,1,0,0,0,0,0
19.03.2020,Воронежская область,2,0,0,0,2,0
19.03.2020,Забайкальский край,1,0,0,0,0,0
19.03.2020,Ивановская область,1,0,0,0,1,0
19.03.2020,Калининградская область,5,0,0,0,0,0
19.03.2020,Калужская область,1,0,0,0,0,0
19.03.2020,Кемеровская область,2,0,0,0,0,0
19.03.2020,Кировская область,3,0,0,0,2,0
19.03.2020,Коми,1,0,0,0,0,0
19.03.2020,Краснодарский край,3,0,0,0,2,0
19.03.2020,Красноярский край,4,0,0,0,3,0
19.03.2020,Ленинградская область,1,0,0,0,0,0
19.03.2020,Липецкая область,3,0,0,0,0,0
19.03.2020,Москва,98,0,0,0,12,0
19.03.2020,Московская область,17,0,0,0,5,0
19.03.2020,Мурманская область,1,0,0,0,1,0
19.03.2020,Нижегородская область,3,0,0,0,1,0
19.03.2020,Новосибирская область,2,0,0,0,1,0
19.03.2020,Оренбургская область,1,0,0,0,1,0
19.03.2020,Пензенская область,1,0,0,0,0,0
19.03.2020,Пермский край,3,0,0,0,1,0
19.03.2020,Рязанская область,1,0,0,0,1,0
19.03.2020,Самарская область,5,0,0,0,0,0
19.03.2020,Санкт-Петербург,10,0,0,0,1,0
19.03.2020,Саратовская область,1,0,0,0,1,0
19.03.2020,Саха (Якутия),1,0,0,0,1,0
19.03.2020,Свердловская область,6,0,0,0,5,0
19.03.2020,Тамбовская область,3,0,0,0,2,0
19.03.2020,Татарстан,1,0,0,0,0,0
19.03.2020,Тверская область,3,0,0,0,1,0
19.03.2020,Томская область,1,0,0,0,0,0
19.03.2020,Тульская область,3,0,0,0,3,0
19.03.2020,Тюменская область,2,0,0,0,0,0
19.03.2020,Хабаровский край,3,0,0,0,3,0
19.03.2020,Хакасия,1,0,0,0,0,0
19.03.2020,ХМАО – Югра,1,0,0,0,1,0
19.03.2020,Чувашия,1,0,0,0,1,0
19.03.2020,Ярославская область,1,0,0,0,0,0
20.03.2020,Архангельская область,1,0,0,0,0,0
20.03.2020,Белгородская область,1,0,0,0,0,0
20.03.2020,Воронежская область,2,0,0,0,0,0
20.03.2020,Забайкальский край,1,0,0,0,0,0
20.03.2020,Ивановская область,1,0,0,0,0,0
20.03.2020,Калининградская область,5,0,0,0,0,0
20.03.2020,Калужская область,1,0,0,0,0,0
20.03.2020,Кемеровская область,2,0,0,0,0,0
20.03.2020,Кировская область,5,0,0,0,2,0
20.03.2020,Коми,1,0,0,0,0,0
20.03.2020,Краснодарский край,3,0,0,0,0,0
20.03.2020,Красноярский край,4,0,0,0,0,0
20.03.2020,Ленинградская область,1,0,0,0,0,0
20.03.2020,Липецкая область,3,0,0,0,0,0
20.03.2020,Москва,131,0,0,0,33,0
20.03.2020,Московская область,18,0,0,0,1,0
20.03.2020,Мурманская область,1,0,0,0,0,0
20.03.2020,Нижегородская область,3,0,0,0,0,0
20.03.2020,Новосибирская область,4,0,0,0,2,0
20.03.2020,Оренбургская область,1,0,0,0,0,0
20.03.2020,Пензенская область,1,0,0,0,0,0
20.03.2020,Пермский край,3,0,0,0,0,0
20.03.2020,Рязанская область,1,0,0,0,0,0
20.03.2020,Самарская область,9,0,0,0,4,0
20.03.2020,Санкт-Петербург,14,0,0,0,4,0
20.03.2020,Саратовская область,1,0,0,0,0,0
20.03.2020,Саха (Якутия),7,0,0,0,6,0
20.03.2020,Свердловская область,6,0,0,0,0,0
20.03.2020,Тамбовская область,3,0,0,0,0,0
20.03.2020,Татарстан,1,0,0,0,0,0
20.03.2020,Тверская область,3,0,0,0,0,0
20.03.2020,Томская область,1,0,0,0,0,0
20.03.2020,Тульская область,3,0,0,0,0,0
20.03.2020,Тюменская область,3,0,0,0,1,0
20.03.2020,Ульяновская область,1,0,0,0,1,0
20.03.2020,Хабаровский край,3,0,0,0,0,0
20.03.2020,Хакасия,1,0,0,0,0,0
20.03.2020,ХМАО – Югра,1,0,0,0,0,0
20.03.2020,Чувашия,1,0,0,0,0,0
20.03.2020,Ярославская область,1,0,0,0,0,0
21.03.2020,Архангельская область,1,0,0,0,0,0
21.03.2020,Белгородская область,1,0,0,0,0,0
21.03.2020,Воронежская область,2,0,0,0,0,0
21.03.2020,Забайкальский край,1,0,0,0,0,0
21.03.2020,Ивановская область,1,0,0,0,0,0
21.03.2020,Кабардино-Балкария,2,0,0,0,2,0
21.03.2020,Калининградская область,7,0,0,0,2,0
21.03.2020,Калужская область,1,0,0,0,0,0
21.03.2020,Кемеровская область,2,0,0,0,0,0
21.03.2020,Кировская область,5,0,0,0,0,0
21.03.2020,Коми,1,0,0,0,0,0
21.03.2020,Краснодарский край,5,0,0,0,2,0
21.03.2020,Красноярский край,5,0,0,0,1,0
21.03.2020,Крым,1,0,0,0,1,0
21.03.2020,Курганская область,1,0,0,0,1,0
21.03.2020,Ленинградская область,1,0,0,0,0,0
21.03.2020,Липецкая область,3,0,0,0,0,0
21.03.2020,Москва,137,0,0,0,6,0
21.03.2020,Московская область,35,0,0,0,17,0
21.03.2020,Мурманская область,1,0,0,0,0,0
21.03.2020,Нижегородская область,7,0,0,0,4,0
21.03.2020,Новосибирская область,4,0,0,0,0,0
21.03.2020,Оренбургская область,1,0,0,0,0,0
21.03.2020,Пензенская область,1,0,0,0,0,0
21.03.2020,Пермский край,3,0,0,0,0,0
21.03.2020,Рязанская область,2,0,0,0,1,0
21.03.2020,Самарская область,9,0,0,0,0,0
21.03.2020,Санкт-Петербург,16,0,0,0,2,0
21.03.2020,Саратовская область,1,0,0,0,0,0
21.03.2020,Саха (Якутия),7,0,0,0,0,0
21.03.2020,Свердловская область,9,0,0,0,3,0
21.03.2020,Ставропольский край,1,0,0,0,1,0
21.03.2020,Тамбовская область,3,0,0,0,0,0
21.03.2020,Татарстан,6,0,0,0,5,0
21.03.2020,Тверская область,3,0,0,0,0,0
21.03.2020,Томская область,1,0,0,0,0,0
21.03.2020,Тульская область,5,0,0,0,2,0
21.03.2020,Тюменская область,3,0,0,0,0,0
21.03.2020,Ульяновская область,1,0,0,0,0,0
21.03.2020,Хабаровский край,4,0,0,0,1,0
21.03.2020,Хакасия,1,0,0,0,0,0
21.03.2020,ХМАО – Югра,2,0,0,0,1,0
21.03.2020,Челябинская область,1,0,0,0,1,0
21.03.2020,Чувашия,1,0,0,0,0,0
21.03.2020,Ярославская область,1,0,0,0,0,0
22.03.2020,Архангельская область,2,0,0,0,1,0
22.03.2020,Белгородская область,1,0,0,0,0,0
22.03.2020,Брянская область,1,0,0,0,1,0
22.03.2020,Воронежская область,2,0,0,0,0,0
22.03.2020,Забайкальский край,1,0,0,0,0,0
22.03.2020,Ивановская область,1,0,0,0,0,0
22.03.2020,Кабардино-Балкария,2,0,0,0,0,0
22.03.2020,Калининградская область,7,0,0,0,0,0
22.03.2020,Калужская область,1,0,0,0,0,0
22.03.2020,Кемеровская область,2,0,0,0,0,0
22.03.2020,Кировская область,7,0,0,0,2,0
22.03.2020,Коми,1,0,0,0,0,0
22.03.2020,Краснодарский край,5,0,0,0,0,0
22.03.2020,Красноярский край,5,0,0,0,0,0
22.03.2020,Крым,1,0,0,0,0,0
22.03.2020,Курганская область,1,0,0,0,0,0
22.03.2020,Ленинградская область,1,0,0,0,0,0
22.03.2020,Липецкая область,3,0,0,0,0,0
22.03.2020,Москва,191,0,0,0,54,0
22.03.2020,Московская область,35,0,0,0,0,0
22.03.2020,Мурманская область,1,0,0,0,0,0
22.03.2020,Нижегородская область,7,0,0,0,0,0
22.03.2020,Новгородская область,1,0,0,0,1,0
22.03.2020,Новосибирская область,4,0,0,0,0,0
22.03.2020,Оренбургская область,1,0,0,0,0,0
22.03.2020,Пензенская область,1,0,0,0,0,0
22.03.2020,Пермский край,3,0,0,0,0,0
22.03.2020,Рязанская область,2,0,0,0,0,0
22.03.2020,Самарская область,9,0,0,0,0,0
22.03.2020,Санкт-Петербург,16,0,0,0,0,0
22.03.2020,Саратовская область,1,0,0,0,0,0
22.03.2020,Саха (Якутия),7,0,0,0,0,0
22.03.2020,Свердловская область,9,0,0,0,0,0
22.03.2020,Ставропольский край,1,0,0,0,0,0
22.03.2020,Тамбовская область,3,0,0,0,0,0
22.03.2020,Татарстан,6,0,0,0,0,0
22.03.2020,Тверская область,3,0,0,0,0,0
22.03.2020,Томская область,1,0,0,0,0,0
22.03.2020,Тульская область,5,0,0,0,0,0
22.03.2020,Тюменская область,3,0,0,0,0,0
22.03.2020,Удмуртия,2,0,0,0,2,0
22.03.2020,Ульяновская область,1,0,0,0,0,0
22.03.2020,Хабаровский край,4,0,0,0,0,0
22.03.2020,Хакасия,1,0,0,0,0,0
22.03.2020,ХМАО – Югра,2,0,0,0,0,0
22.03.2020,Челябинская область,1,0,0,0,0,0
22.03.2020,Чувашия,1,0,0,0,0,0
